Tournament,Bracket,Team 1,Team 2,Team 1 wins,Team 2 wins,Time
MGF2,WC,The Adventure Drone,Sleeper Scene,2,0,2019-08-27T12:05:00-05:00
MGF2,KO,Fam in Famine,A Team Has No Name,3,0,2019-08-27T12:06:00-05:00
MGF2,KO,Something Something Toxic,Oh Jeez,3,1,2019-08-27T12:07:00-05:00
MGF2,KO,The Adventure Drone,Daddy Long Tentacle,3,2,2019-08-27T12:08:00-05:00
MGF2,KO,Super S H A S H Bros.,Boops Ahoy,3,0,2019-08-27T12:09:00-05:00
MGF2,KO,S H A S H Strikes Back,Get Dixie Rekt,3,0,2019-08-27T12:10:00-05:00
MGF2,KO,Reeeeeeee,J Mind,3,1,2019-08-27T12:11:00-05:00
MGF2,KO,Two Spoons,Refried Bees,3,0,2019-08-27T12:12:00-05:00
MGF2,KO,Big Fair Don't Care,East Coast Beast Coast,3,0,2019-08-27T12:13:00-05:00
MGF2,KO,Oh Jeez,A Team Has No Name,3,0,2019-08-27T12:14:00-05:00
MGF2,KO,Daddy Long Tentacle,Boops Ahoy,3,1,2019-08-27T12:15:00-05:00
MGF2,KO,J Mind,Get Dixie Rekt,3,0,2019-08-27T12:16:00-05:00
MGF2,KO,East Coast Beast Coast,Refried Bees,3,1,2019-08-27T12:17:00-05:00
MGF2,KO,Fam in Famine,Something Something Toxic,3,2,2019-08-27T12:18:00-05:00
MGF2,KO,Super S H A S H Bros.,The Adventure Drone,3,0,2019-08-27T12:19:00-05:00
MGF2,KO,Reeeeeeee,S H A S H Strikes Back,3,0,2019-08-27T12:20:00-05:00
MGF2,KO,Big Fair Don't Care,Two Spoons,3,1,2019-08-27T12:21:00-05:00
MGF2,KO,East Coast Beast Coast,Something Something Toxic,3,2,2019-08-27T12:22:00-05:00
MGF2,KO,J Mind,The Adventure Drone,3,0,2019-08-27T12:23:00-05:00
MGF2,KO,S H A S H Strikes Back,Daddy Long Tentacle,3,2,2019-08-27T12:24:00-05:00
MGF2,KO,Two Spoons,Oh Jeez,3,1,2019-08-27T12:25:00-05:00
MGF2,KO,J Mind,East Coast Beast Coast,3,1,2019-08-27T12:26:00-05:00
MGF2,KO,S H A S H Strikes Back,Two Spoons,3,1,2019-08-27T12:27:00-05:00
MGF2,KO,Fam in Famine,Super S H A S H Bros.,3,1,2019-08-27T12:28:00-05:00
MGF2,KO,Big Fair Don't Care,Reeeeeeee,3,1,2019-08-27T12:29:00-05:00
MGF2,KO,S H A S H Strikes Back,Super S H A S H Bros.,3,0,2019-08-27T12:30:00-05:00
MGF2,KO,Reeeeeeee,J Mind,3,0,2019-08-27T12:31:00-05:00
MGF2,KO,Reeeeeeee,S H A S H Strikes Back,3,2,2019-08-27T12:32:00-05:00
MGF2,KO,Big Fair Don't Care,Fam in Famine,3,0,2019-08-27T12:33:00-05:00
MGF2,KO,Reeeeeeee,Fam in Famine,3,1,2019-08-27T12:34:00-05:00
MGF2,KO,Big Fair Don't Care,Reeeeeeee,4,2,2019-08-27T12:35:00-05:00
KQ30,Group H,Melissophilia,Cora’s Explorers,3,0,2019-06-30T12:00:00-05:00
KQ30,Group H,FaZe Clan,The Leftovers,3,0,2019-06-30T12:01:00-05:00
KQ30,Group H,"MATH, But Beta",Arcade AF,3,0,2019-06-30T12:02:00-05:00
KQ30,Group H,Melissophilia,The Leftovers,3,0,2019-06-30T12:03:00-05:00
KQ30,Group H,Arcade AF,Cora’s Explorers,2,1,2019-06-30T12:04:00-05:00
KQ30,Group H,FaZe Clan,"MATH, But Beta",2,1,2019-06-30T12:05:00-05:00
KQ30,Group H,"MATH, But Beta",The Leftovers,3,0,2019-06-30T12:06:00-05:00
KQ30,Group H,FaZe Clan,Cora’s Explorers,2,1,2019-06-30T12:07:00-05:00
KQ30,Group H,Melissophilia,Arcade AF,3,0,2019-06-30T12:08:00-05:00
